סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
353458,יסודי שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,45,2,4%,1,2%,1,2%
160739,מנזר רוזרי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,120,0,0%,0,0%,0,0%
148197,מקיף בית חנינה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,130,3,2%,0,0%,0,0%
477901,מקיף בית חנינה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,163,65,40%,33,20%,31,19%
193003,מקיף עיסוואיה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,148,107,72%,55,37%,55,37%
148247,מקיף שש שנתי אלטור לבנים,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,146,104,71%,43,29%,40,27%
239871,סמהר לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,106,17,16%,14,13%,14,13%
184010,פריר בית חנינא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,107,1,1%,0,0%,0,0%
641415,רוואד אלקודס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,113,113,100%,105,93%,103,91%
362046,רנסנס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,49,0,0%,0,0%,0,0%
440412,תיכון מקיף אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,93,5,5%,1,1%,0,0%
148155,תיכון שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,192,190,99%,189,98%,188,98%
118158,איבן אל-היית'ם,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,157,80,51%,0,0%,0,0%
668962,אלביאן מקיף,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,51,51,100%,26,51%,23,45%
198085,"חט""ב ראס אל-עמוד",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,135,1,1%,0,0%,0,0%
715623,מקיף אלסלעה,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,88,21,24%,17,19%,16,18%
178178,סאחורה מכין בנות,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,185,161,87%,144,78%,143,77%
440784,"ראס אלעמוד ע""ס לבנות",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,111,24,22%,21,19%,21,19%
198192,תיכון צור באהר,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,130,100,77%,37,28%,28,22%
148080,מקיף אבו גוש,אבו גוש,ירושלים,ערבי,ציפי יעקב,ממלכתי,78,78,100%,69,88%,68,87%
114249,אורות עציון בנות,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,63,61,97%,60,95%,60,95%
114173,אורות עציון בנים,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,96,3,3%,1,1%,1,1%
114058,אריאל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,29,27,93%,27,93%,27,93%
112250,עשה חייל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,61,44,72%,46,75%,46,75%
113324,בית-אל בנים,בית אל,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,73,22,30%,17,23%,10,14%
650523,אולפנת בית אל,בית אל,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,82,81,99%,69,84%,66,80%
338509,"חט""ב לבונה",בית אריה,ירושלים,יהודי,ציפי יעקב,ממלכתי,76,72,95%,71,93%,69,91%
615971,"חב""ד בנות",בית שמש,ירושלים,יהודי,מרים ויצמן,ממלכתי דתי,32,19,59%,27,84%,27,84%
160432,ברנקו וייס מקיף בית שמש,בית שמש,ירושלים,יהודי,ציפי יעקב,ממלכתי,159,147,92%,130,82%,127,80%
353599,אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,51,42,82%,34,67%,32,63%
460667,אולפנת אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,65,65,100%,64,98%,64,98%
